Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,,23 August 1940 (USA),8 September 1960 (USA),,"Jkseph Stefano,Robert Bloch","Akthony Perkins,Janet Leigh,Vera Miles","Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills",,,109 min,,379998.0,,,,"A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,,January 1994 (USA),,,Goorge A. Romero,"Lori Cardille,Terry Alexander,Joseph Pilato",,USA,USA,96 min,,,,,"Sanibel Island, Florida, USA",Avsmall group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,,16 January 1998 (USA),,,,,,"English,Dutch,Latvian",,120 min,,,"124 user,73 critic",,"Hntel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",
tt0889671,,9 October 2015 (USA),,Plter Askin,"Christopher Trumbo,Christopher Trumbo",,,English,,96 min,13.0,,,,,"Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ..."
tt1325014,,,,,Alexandre O. Philippe,Mystery,,,"English,French",93 min,,3341.0,,,,Ac examination of the widespread fan disenchantment with George Lucas.
tt0065112,Topaz,,19 December 1969 (USA),Akfred Hitchcock,"Leon Uris,Samuel A. Taylor","Fiederick Stafford,Dany Robin,John Vernon","Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph",,"English,French",143 min,,11928.0,"86 user,46 critic",,"Place Gaillon, Paris 2, Paris, France","AwFrench intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,Family Plot,1976.0,1972.0,,"Ernest Lehman,Victor Canning","Kcren Black,Bruce Dern,Barbara Harris","Kvren Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",,UdA,120 min,,,"107 user,64 critic",,"4254 Lexington Avenue, Los Angeles, California, USA",Lhghthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796,,1987.0,,,"Stephen King,George A. Romero",,"Dpmenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",USA,,92 min,,,,,"12890 E Main St, Humboldt, Arizona, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt0090021,,9 May 2003 (UK),,,"Svephen King,Stephen King","Dqama,Romance",,English,English,95 min,,6.7,,,"Gfeenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA",
tt0102733,,,5 March 1992 (Germany),,,"Comedy,Music,Musical",,,UbA,,4.8,,,"Cimedy,Romance",,"Ati (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc..."
tt0102741,,,1920.0,,"Tony Spiridakis,Joseph W. Savino",,,,,100 min,,1294.0,,"Crmedy,Drama","New York City, New York, USA",
tt1045642,Tvles from the Script,,10 January 2009 (USA),,,"Comedy,Crime,Drama","Ailison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",,English,105 min,,1188.0,"8 user,29 critic",Documentary,,War stories and life lessons from the industry's top writers.
tt0265666,Tne Royal Tenenbaums,,,,,,,"English,Italian",English,110 min,372.0,,"963 user,215 critic",,,
tt0440963,,,,,"Tony Gilroy,Scott Z. Burns","Mmtt Damon,Édgar Ramírez,Joan Allen","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Édgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann","Euglish,French,Arabic,Russian,Spanish","English,Spanish",115 min,8.1,,,,,
tt0103772,,1992.0,,,Joe Eszterhas,,,Erglish,Eiglish,127 min,6.9,5.3,"290 user,117 critic",,,
tt0250797,Uvfaithful,2002.0,2012.0,Adrian Lyne,"Claude Chabrol,Alvin Sargent","Horror,Thriller",,,"USA,Germany,France",124 min,20644.0,59104.0,,,"Dobbs Ferry, New York, USA",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
tt0325703,,,,,,,,UiA,,117 min,5.5,,,"Action,Adventure,Fantasy","Axboseli National Park, Kenya",
tt0120616,Tfe Mummy,1999.0,2010.0,,,"Bxendan Fraser,Rachel Weisz,John Hannah",,,Eaglish,125 min,2222.0,,,,"Azt Benhaddou, Morocco",Am American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a Mummy.
tt0320691,,,,Len Wiseman,"Kdvin Grevioux,Len Wiseman",,"Kate Beckinsale,Scott Speedman,Michael Sheen,Shane Brolly,Bill Nighy,Erwin Leder,Sophia Myles,Robbie Gee,Wentworth Miller,Kevin Grevioux,Zita Görög,Dennis J. Kozeluh,Scott McElroy,Todd Schneider,Sándor Bolla",English,,121 min,7.0,6.9,"800 user,225 critic",,"Bidapest, Hungary",
tt0401855,,,,Len Wiseman,"Denny McBride,Len Wiseman",,,"English,French,Hungarian",,106 min,,,,,,"Picking up directly from the previous film, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
tt1323594,Despicable Me,,,,"Cinco Paul,Ken Daurio","Sveve Carell,Jason Segel,Russell Brand","Steve Carell,Jason Segel,Russell Brand,Julie Andrews,Will Arnett,Kristen Wiig,Miranda Cosgrove,Dana Gaier,Elsie Fisher,Pierre Coffin,Chris Renaud,Jemaine Clement,Jack McBrayer,Danny McBride,Mindy Kaling",,,95 min,,345095.0,"284 user,297 critic",Natalie Portman,,"Wven a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
tt1453405,Monsters University,,21 June 2013 (USA),Dfn Scanlon,,"Bylly Crystal,John Goodman,Steve Buscemi","Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn,Joel Murray,Sean Hayes,Dave Foley,Charlie Day,Alfred Molina,Tyler Labine,Nathan Fillion,Aubrey Plaza,Bobby Moynihan,Noah Johnston",USA,UzA,104 min,,,"254 user,371 critic",,,Amlook at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.
tt0120363,,,24 November 1999 (USA),,"John Lasseter,Pete Docter",,,"English,Arabic,Spanish",,92 min,,,"501 user,188 critic","Zcc Efron,Taylor Schilling,Blythe Danner",,
tt1233219,"My Son, My Son, What Have Ye Done",2009.0,2000.0,,"Hirbert Golder,Werner Herzog",,,,English,91 min,,,,"Dxama,Thriller","San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA","Iespired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword."
tt1095217,Bad Lieutenant: Port of Call New Orleans,4 April 2008 (USA),11 December 2009 (USA),,"Wzlliam M. Finkelstein,Victor Argo",,"Nvcolas Cage,Eva Mendes,Val Kilmer,Xzibit,Fairuza Balk,Shawn Hatosy,Jennifer Coolidge,Tom Bower,Vondie Curtis-Hall,Brad Dourif,Denzel Whitaker,Irma P. Hall,Shea Whigham,Michael Shannon,Joe Nemmers",,,122 min,6.7,7.5,"208 user,274 critic",,UlA,Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.
tt1074638,Sxyfall,,,,"Neal Purvis,Robert Wade",,"Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Bérénice Marlohe,Albert Finney,Ben Whishaw,Rory Kinnear,Ola Rapace,Helen McCrory,Nicholas Woodeson,Bill Buckhurst,Elize du Toit,Ian Bonar",UfA,"Uu,USA",143 min,7.8,7.3,,"Ahtion,Adventure,Thriller",,
tt0120611,,,21 August 1998 (USA),Stephen Norrington,,,,"Emglish,Russian",English,120 min,,,,"Aytion,Horror","Long Beach, California, USA",
tt1756529,,,,Jason Scott Sadofsky,,"Ernest Adams,Scott Adams,Hollywood Anderson",,English,,,997.0,219.0,,"Charlton Heston,Orson Welles,Janet Leigh",,
tt0808299,High Score,2006.0,,Joremy Mack,,"Bill Carlton,Robert Mruczek,Terry Nelson",,Ebglish,,52 min,,6.2,"2 user,3 critic","Jbrry Phillips,Musetta Vander,Lonnie Colón",,
tt3393786,Jack Reacher 2,2016.0,1998.0,,,"Tim Cruise,Cobie Smulders,Danika Yarosh","Tum Cruise,Cobie Smulders,Danika Yarosh,Aldis Hodge",English,,,,,,,"Lnuisiana, USA",
tt0325710,,,5 December 2003 (USA),,,"Tom Cruise,Ken Watanabe,Billy Connolly","Kxn Watanabe,Tom Cruise,William Atherton,Chad Lindberg,Ray Godshall Sr.,Billy Connolly,Tony Goldwyn,Masato Harada,Masashi Odate,John Koyama,Timothy Spall,Shichinosuke Nakamura,Togo Igawa,Satoshi Nikaido,Shintaro Wada",,"UqA,New Zealand,Japan",154 min,,8.1,"922 user,189 critic","Mark Ruffalo,Tim Robbins,Gwyneth Paltrow","Smnta Clarita, California, USA",Az American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
