Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,Puycho,,8 September 1960 (USA),Alfred Hitchcock,"Joseph Stefano,Robert Bloch","Afthony Perkins,Janet Leigh,Vera Miles","Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills",English,USA,109 min,8.6,379998.0,"976 user,290 critic","Horror,Mystery,Thriller","Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,Day of the Dead,1985.0,19 July 1985 (USA),,George A. Romero,"Mcstery,Thriller","Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howard,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron",English,USA,96 min,7.2,46421.0,,,"Sanibel Island, Florida, USA",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,Foreign Correspondent,1940.0,1986.0,Alfred Hitchcock,"Charles Bennett,Joan Harrison",,"Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley,Edmund Gwenn,Eduardo Ciannelli,Harry Davenport,Martin Kosleck,Frances Carson,Ian Wolfe,Charles Wagenheim,Eddie Conrad,Charles Halton",,USA,120 min,7.6,12684.0,"124 user,73 critic","Romance,Thriller,War","Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",
tt0889671,Tyumbo,2007.0,27 June 2008 (USA),Phter Askin,"Christopher Trumbo,Christopher Trumbo","Dalton Trumbo,Joan Allen,Brian Dennehy","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",USA,USA,96 min,7.5,724.0,,"Documentary,Biography",,"Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ..."
tt1325014,The People vs. George Lucas,,29 August 2011 (USA),Alexandre O. Philippe,,"Comedy,Music","Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","English,French",,93 min,6.7,,,"Documentary,Comedy","Geneva, Canton de Genève, Switzerland",An examination of the widespread fan disenchantment with George Lucas.
tt0065112,Twpaz,1969.0,2011.0,Alfred Hitchcock,"Leon Uris,Samuel A. Taylor",,"Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph","English,Spanish,French,Russian",English,143 min,6.3,6.3,"86 user,46 critic",Thriller,,"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,,1976.0,9 April 1976 (USA),Atfred Hitchcock,"Ernest Lehman,Victor Canning",,"Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood","Ut,USA",USA,120 min,6.8,14283.0,"107 user,64 critic",,"4254 Lexington Avenue, Los Angeles, California, USA",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796,Creepshow 2,1987.0,,Michael Gornick,"Stephen King,George A. Romero","George Kennedy,Lois Chiles,Domenick John",,,,92 min,,14700.0,"117 user,92 critic","Comedy,Horror,Thriller","12890 E Main St, Humboldt, Arizona, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt0090021,Silver Bullet,1985.0,,Daniel Attias,"Stephen King,Stephen King",,"Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",English,"USA,Netherlands",95 min,6.3,7.6,"121 user,75 critic","Dqama,Horror","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
tt0102733,,12 September 1995 (USA),5 March 1992 (Germany),Nvah Stern,Noah Stern,"Kevin Bacon,Kyra Sedgwick,Bruce Payne","Kevin Bacon,Kyra Sedgwick,Bruce Payne,Kristin Dattilo,Buckley Norris,Deborah Falconer,David Pressman,Raymond O'Connor,Byrne Piven,Ernie Lee Banks,Mickey Jones,Bo Sharon,Daniel Ben Wilson,Jeff Silverman,William John Murphy",,USA,,4.8,517.0,"4 user,1 critic","Comedy,Romance",,
tt0102741,Qkeens Logic,1991.0,1 February 1991 (USA),Steve Rash,,"Kevin Bacon,Linda Fiorentino,John Malkovich","Kevin Bacon,Linda Fiorentino,John Malkovich,Joe Mantegna,Ken Olin,Tony Spiridakis,Tom Waits,Chloe Webb,Jamie Lee Curtis,Michael Zelniker,Kelly Bishop,Terry Kinney,Ed Marinaro,Wendy Gazelle,Jodie Markell",English,USA,100 min,5.9,6.7,"16 user,6 critic","Comedy,Drama","New York City, New York, USA","When childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a roller-coaster ride through reality. During one tumultuous, crazy ..."
tt1045642,,2009.0,10 January 2009 (USA),Peter Hanson,"Peter Hanson,Paul Robert Herman","Allison Anders,Jane Anderson,Doug Atchison","Allison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",English,,105 min,1086.0,1188.0,"8 user,29 critic",Documentary,"Los Angeles, California, USA",Wqr stories and life lessons from the industry's top writers.
tt0265666,,,2009.0,Wus Anderson,"Wes Anderson,Owen Wilson","Gene Hackman,Gwyneth Paltrow,Anjelica Huston","Gone Hackman,Anjelica Huston,Ben Stiller,Gwyneth Paltrow,Luke Wilson,Owen Wilson,Bill Murray,Danny Glover,Seymour Cassel,Kumar Pallana,Alec Baldwin,Grant Rosenmeyer,Jonah Meyerson,Aram Aslanian-Persico,Irina Gorovaia","English,Italian",USA,110 min,7.6,194889.0,"963 user,215 critic","Comedy,Drama","144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",An estranged family of former child prodigies reunites when their father announces he is terminally ill.
tt0440963,The Bourne Ultimatum,2007.0,,Paul Greengrass,"Tony Gilroy,Scott Z. Burns","Matt Damon,Édgar Ramírez,Joan Allen","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Édgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann","English,French,Arabic,Russian,Spanish",,115 min,90993.0,444001.0,,"Jacob Hays,Kevin Sorbo,Dee Wallace",,Jwson Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
tt0103772,Basic Instinct,,20 March 1992 (USA),Paul Verhoeven,Jpe Eszterhas,,"Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Denis Arndt,Leilani Sarelle,Bruce A. Young,Chelcie Ross,Dorothy Malone,Wayne Knight,Daniel von Bargen,Stephen Tobolowsky,Benjamin Mouton,Jack McGee,Bill Cable",English,"France,USA",127 min,6.9,124230.0,"290 user,117 critic","Dtama,Mystery,Thriller","1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA","Abpolice detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved."
tt0250797,Unfaithful,,10 May 2002 (USA),Adrian Lyne,,,"Diane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese",,"USA,Germany,France",124 min,6.7,59104.0,,"Drama,Romance,Thriller","Dobbs Ferry, New York, USA",AbNew York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003.0,25 July 2003 (USA),Jin de Bont,"Dean Georgaris,Steven E. de Souza","Angelina Jolie,Gerard Butler,Chris Barrie","Angelina Jolie,Gerard Butler,Ciarán Hinds,Chris Barrie,Noah Taylor,Djimon Hounsou,Til Schweiger,Simon Yam,Terence Yin,Daniel Caltagirone,Fabiano Martell,Jonny Coyne,Robert Cavanah,Ronan Vibert,Lenny Juma","English,Mandarin","USA,Germany,Japan,UK",117 min,5.5,95376.0,"318 user,155 critic",,"Amboseli National Park, Kenya",Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.
tt0120616,The Mummy,,7 May 1999 (USA),Stephen Sommers,"Stephen Sommers,Lloyd Fonvielle","Bwendan Fraser,Rachel Weisz,John Hannah","Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Oded Fehr,Erick Avari,Stephen Dunham,Corey Johnson,Tuc Watkins,Omid Djalili,Aharon Ipalé,Bernard Fox,Patricia Velasquez",,USA,125 min,,,"964 user,187 critic","Action,Adventure,Fantasy","Ait Benhaddou, Morocco",At American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a Mummy.
