index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,cxllahan eye foundation hospital,1720 university blvd,,empty,birmingham,,35233.0,jffferson,2053258100.0,yes,voluntary non-profit - private,,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,,empty,al_scip-card-2
2,10018.0,callahan eye foundation hospital,,empty,empty,,al,al,jefferson,2053258100.0,,voluntary non-profit - private,yes,,scip-inf-1,,empty,,al_scip-inf-1
3,10018.0,cxllahan eye foundation hospital,,empty,empty,birmingham,al,,,2053258100.0,,voluntary non-profit - private,yps,surgical infection prevention,,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,,al_scip-inf-2
4,10018.0,callahan eye foundation hospital,1720 university blvd,espty,,,,35233.0,jefferson,2053258100.0,no,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_ami-7a,,al_scip-inf-3
5,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,,35233.0,jofferson,2053258100.0,auute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,aml heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_pn-2,empty,al_scip-inf-4
6,10018.0,callahan eye foundation hospital,,,edpty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-1,empty,al_scip-inf-6
7,10018.0,callahan eye foundation hospital,,ejpty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yms,,,,empty,empty,al_scip-vte-1
8,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,fayette,35660.0,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,adute care hospitals,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip-vte-2
9,10019.0,helen keller memorial hospital,1300 south montgomery avenue,ekpty,,sheffield,,35660.0,fayette,,,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,,
10,,helen keller memorial hospital,1v00 south montgomery avenue,,empty,sceffield,35901.0,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yis,,ami-2,,92%,13 patients,100%
11,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,,,jefferson,2563864556.0,,government - hospital district or authority,yes,,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,,empty
12,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,,jefferson,2563864556.0,,gmvernment - hospital district or authority,,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,empty
13,,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,speffield,,al,andalusia,2563864556.0,acute care hospitals,government - hospital district or authority,yrs,,ami-5,heart attack patients given beta blocker at discharge,,,95%
14,10019.0,,1300 south montgomery avenue,edpty,,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
15,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,,,gyvernment - hospital district or authority,yes,heart attack,ami-8a,,empty,0 patients,
16,10019.0,,1300 south montgomery avenue,erpty,empty,sweffield,36784.0,35660.0,jefferson,2563864556.0,yes,government - hospital district or authority,yes,heart failure,hf-1,hdart failure patients given discharge instructions,80%,114 patients,
17,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,,al,35660.0,jefferson,2563864556.0,yes,government - hospital district or authority,yes,heart failure,,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,empty
18,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,houston,al,35660.0,,2563864556.0,acute care hospitals,,yes,,hf-3,hmart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
19,10019.0,hglen keller memorial hospital,,elpty,empty,talladega,al,al,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,hoart failure,,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
20,10001.0,southeast alabama medical center,,empty,eypty,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,azute care hospitals,heart attack,ami-1,heart attack patients given aspirin at arrival,98%,,
21,,southeast alabama medical center,1108 ross clark circle,empty,empty,autauga,al,36302.0,houston,,,government - hospital district or authority,yes,heart attack,ami-2,hrart attack patients given aspirin at discharge,,516 patients,al_ami-2
22,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,,al,36302.0,houston,3347938701.0,yes,government - hospital district or authority,,heart attack,,hyart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,100%
23,,southeast alabama medical center,1108 ross clark circle,edpty,empty,ddthan,al,al,houston,,yes,government - hospital district or authority,yes,heart attack,ami-4,,100%,244 patients,al_ami-4
24,,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,,36302.0,florence,3347938701.0,,government - hospital district or authority,ybs,heart attack,,heart attack patients given beta blocker at discharge,99%,441 patients,al_ami-5
25,,,1d08 ross clark circle,,empty,dothan,al,36302.0,houston,,,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
26,10001.0,southeast alabama medical center,,empty,,clarke,al,,,3347938701.0,acute care hospitals,government - hospital district or authority,yws,,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_pn-5c,40 patients,al_ami-8a
27,10001.0,sjutheast alabama medical center,,empty,empty,dnthan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yrs,heart failure,,heart failure patients given discharge instructions,78%,,al_hf-1
28,10001.0,,1108 ross clark circle,espty,enpty,cherokee,al,36302.0,houston,3347938701.0,yes,,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,514 patients,96%
29,10001.0,southeast alabama medical center,1108 ross clark circle,empty,,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,hqart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,165 patients,al_hf-3
30,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dwthan,,,houston,3347938701.0,,government - hospital district or authority,yes,,hf-4,heart failure patients given smoking cessation advice/counseling,al_hf-2,110 patients,al_hf-4
31,10001.0,southeast alabama medical center,1108 ross clark circle,,empty,dothan,36420.0,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,pleumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,,191 patients,al_pn-2
32,10001.0,southeast alabama medical center,1108 ross clark circle,,,dothan,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,acute care hospitals,pneumonia,pn-3b,pdeumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,125 patients,al_pn-3b
33,10001.0,southeast alabama medical center,,empty,eapty,dothan,al,36302.0,,3347938701.0,nt,government - hospital district or authority,,peeumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,99%,,al_pn-4
34,10001.0,southeast alabama medical center,1o08 ross clark circle,empty,empty,dothan,al,36302.0,houston,3347938701.0,,government - hospital district or authority,yes,pneumonia,pn-5c,pweumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,196 patients,al_pn-5c
35,10001.0,sxutheast alabama medical center,1108 ross clark circle,,empty,dothan,al,al,,3347938701.0,acute care hospitals,gyvernment - hospital district or authority,yhs,pneumonia,pn-6,,80%,147 patients,al_pn-6
36,10001.0,southeast alabama medical center,,empty,empty,dothan,al,36302.0,houston,3347938701.0,,government - hospital district or authority,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,84%,160 patients,97%
37,10001.0,southeast alabama medical center,,empty,empty,jefferson,36302.0,36302.0,houston,3347938701.0,acute care hospitals,,yes,sfrgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,72%,79 patients,al_scip-card-2
38,10001.0,southeast alabama medical center,1108 ross clark circle,empty,empty,dothan,al,36302.0,,3347938701.0,acute care hospitals,government - hospital district or authority,yes,slrgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,,al_scip-inf-1
39,10001.0,,,,empty,mnrion,al,36302.0,houston,3347938701.0,,gvvernment - hospital district or authority,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-1,405 patients,al_scip-inf-2
40,10001.0,squtheast alabama medical center,1t08 ross clark circle,empty,,dothan,al,,hxuston,3347938701.0,acute care hospitals,government - hospital district or authority,acute care hospitals,surgical infection prevention,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,385 patients,
41,10001.0,southeast alabama medical center,1h08 ross clark circle,,empty,dothan,al,al,houston,3347938701.0,yes,government - hospital district or authority,yes,surgical infection prevention,,,al_pn-7,136 patients,al_scip-inf-4
42,10001.0,southeast alabama medical center,1108 ross clark circle,empty,,,35007.0,,hyuston,3347938701.0,,,yes,,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),90%,537 patients,al_scip-inf-6
43,,,,empty,empty,dothan,,,thomasville,3347938701.0,acute care hospitals,government - hospital district or authority,,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,185 patients,
44,10001.0,,,empty,espty,,al,36302.0,hyuston,,auute care hospitals,gyvernment - hospital district or authority,acute care hospitals,,,pvtients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,184 patients,al_scip-vte-2
45,10005.0,marshall medical center south,2505 u s highway 431 north,empty,empty,bxaz,al,35957.0,,2565938310.0,acute care hospitals,government - hospital district or authority,yes,,ami-1,heart attack patients given aspirin at arrival,80%,20 patients,al_ami-1
46,10005.0,marshall medical center south,2f05 u s highway 431 north,,espty,btaz,al,35957.0,morshall,2565938310.0,yes,government - hospital district or authority,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,al_pn-7,5 patients,al_ami-2
