id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/14/01,1187-9,{NULL}
498345,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1537-6613,0.0,0.0,2/15/04,-,{NULL}
789958,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Indian J Ophthalmol,,0.0,0.0,1/14/01,-,{NULL}
169865,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",{NULL}
803653,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/15/10,835-40,{NULL}
98234,"Pwegabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,,1440-1843,,0.0,0.0,1/9/01,185-91,{NULL}
823730,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,0007-1420,0.0,0.0,1/1/73,-,{NULL}
729712,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",English; ABSTRACT LANGUAGE:English,eng,-10475,,0.0,0.0,1/14/01,-,{NULL}
396821,Awareness of deficits and on-road driving performance,,,,1932-6203,0.0,0.0,1/11/01,-,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,158-61,{NULL}
184417,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,,,1361-9209,0.0,0.0,1/9/01,-,{NULL}
729686,Ldcal anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,,1940-5901,0.0,0.0,1/14/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,0001-6349 (Print) 0001-6349,0.0,0.0,1/14/01,711-5,{NULL}
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,eng,eng,,,0.0,0.0,1/14/01,-,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,0.0,0.0,1/14/01,1245-50,{NULL}
13601,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/14/01,919-21,{NULL}
668310,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,1178-1998,0.0,0.0,1/12/01,185-90,{NULL}
282987,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1469-493X,0.0,0.0,1/5/01,Cd004797,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
478292,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",Alcohol Clin Exp Res,eng,Circulation,Jan-68,0.0,0.0,1/1/97,257-8,{NULL}
43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Mldicine and science in sports and exercise,Circulation,0195-9131,0.0,0.0,1/14/01,-,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1932-6203,0.0,0.0,1/13/12,1304-16,{NULL}
163526,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,,1471-2377,,0.0,0.0,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,{NULL}
514411,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,0951-7375,1932-6203,0.0,0.0,1/14/12,-,{NULL}
569841,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,5/20/09,-,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}"
6207,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,785-794,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}"
21910,Eoamining waiting placement in hospital: utilization and the lived experience.,eng,Global journal of health science,,,0.0,0.0,1/14/01,22-Dec,{NULL}
378490,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,Tie Journal of clinical psychiatry,J Clin Psychiatry,,0.0,0.0,1/8/12,1892-900,{NULL}
971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,eng,eng,Circulation,1932-6203,0.0,0.0,1/1/86,1074-1077,{NULL}
793918,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,PhoS one,1932-6203,0.0,0.0,1/14/01,e75079,"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}"
819166,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,Aeerican Journal of Bioethics,,15265161 (ISSN),0.0,0.0,1/14/01,W1-W4,{NULL}
880881,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,,1053-8135,1598-9992,0.0,0.0,1/8/12,384-8,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}"
629530,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/7/09,2077-86,{NULL}
954388,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/1/74,46,"{""Marilou Madden""}"
379737,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1932-6203,0.0,0.0,5/1/00,625-7,{NULL}
676042,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1532-8511,0.0,0.0,1/15/02,-,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuan Liu"",""Han Yan""}"
353972,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",,eng,,1745-0128 1745-0136,0.0,0.0,1/8/01,243-248,{NULL}
968125,Successful treatment of lung cancer by multimodal endobronchial interventions,English,,Rbspiration,,0.0,0.0,1/14/01,144-147,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}"
660168,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Neurosurgery,1932-6203,0.0,0.0,1/9/02,-,{NULL}
732534,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,0899-6210,0.0,0.0,1/14/01,"20-6, 28",{NULL}
473026,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1932-6203,0.0,0.0,1/8/06,-,{NULL}
372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,eng,eng,,0360-3016,0.0,0.0,1/14/01,-,{NULL}
110072,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,-,"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}"
330553,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,0175-3851,0.0,0.0,1/14/01,655-663,{NULL}
23215,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,,eng,,,0.0,0.0,1/14/01,-,{NULL}
719532,Mzthodology to estimate building energy consumption using EnergyPlus Benchmark Models,Acta paediatrica Scandinavica. Supplement,Energy and Buildings,,0378-7788,0.0,0.0,1/10/01,-,{NULL}
86421,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,eng,Cqncer research,Circulation,1538-7445,0.0,0.0,1/14/01,Sep-82,"{""Stephanie J Weinstein"",""Rachael Z Stolzenberg-Solomon"",""Philip R Taylor"",""Barry I Graubard"",""Jarmo Virtamo"",""Demetrius Albanes"",""Li Jiao""}"
433667,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",Ann Rheum Dis,eng,Circulation,1932-6203,0.0,0.0,,,{NULL}
530323,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,CD002843,{NULL}
102893,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,Rpvista latino-americana de enfermagem,eng,Circulation,1555-2101,0.0,0.0,1/14/01,-,{NULL}
864817,Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial,,eng,Circulation,1932-6203,0.0,0.0,1/14/01,viii284,"{""B. Escudier"",""A. Ravaud"",""F. Rolland"",""A. Blesius"",""B. Beuzelink"",""S. Oudard"",""C. Chevreau""}"
217725,Ule of alendronate in peri-implant defect regeneration,The journal of ECT,eng,Circulation,1932-6203,0.0,0.0,1/14/01,-,"{""P. C. Wollan"",""S. J. Meraw"",""C. M. Reeve""}"
730822,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,324-326,{NULL}
659297,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,1537-7385,0.0,0.0,1/14/01,984-98,{NULL}
42247,"Gznder differences in personal, social and environmental influences on active travel to and from school for Australian adolescents.",eng,eng,Circulation,1932-6203,0.0,0.0,1/14/01,597-601,{NULL}
302969,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,18-30,{NULL}
158672,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1932-6203,0.0,0.0,4/14/12,715-727,{NULL}
616298,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,Circulation,0952-8180,0.0,0.0,1/14/01,427-35,"{""David N Maine"",""Genevieve E Courpas"",""James F Weller"",""Jeffrey M Richman"",""Andrew J Rowlingson"",""Christopher L Wu""}"
221086,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,,,,0.0,0.0,1/12/01,34,{NULL}
548616,"Eiucating Emergent Bilinguals: Policies, Programs, and Practices for English Language Learners. Language & Literacy Series",,eng,Circulation,0-8077-4913-3,0.0,0.0,1/14/01,-,"{""Ofelia Garcia"",""Jo Anne Kleifgen""}"
669596,Similar survival between uncemented and cemented fixation prostheses in total knee arthroplasty: a meta-analysis and systematic comparative analysis using registers.,eng,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Knee Surg Sports Traumatol Arthrosc,,0.0,0.0,1/14/01,Jul-91,{NULL}
474288,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,eng,,1932-6203,0.0,0.0,1/14/01,15-22,"{""Marlies L van Bekkum"",""Barbara C van Munster"",""Marije E Hamaker"",""Carolien H Smorenburg"",""Peter L M Thunnissen""}"
108424,Oetcome of gastric bypass patients.,eng,,Obes Surg,,0.0,0.0,1/2/04,261-4,{NULL}
841679,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,Ji Card. Surg.,,-7977,0.0,0.0,1/11/01,-,{NULL}
173830,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,,0091-6749 (Print),0.0,0.0,1/5/01,153-163,"{""S. H. Sicherer"",""D. Y. M. Leung""}"
852927,"Pgase II study of epirubicin, oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.",,eng,Circulation,1932-6203,0.0,0.0,1/14/01,-,"{""Laura Giacinti"",""Silvia Ileana Fattoruso"",""Maria Grazia Arena"",""Luigi Di Lauro"",""Massimo Lopez"",""Domenico Sergi"",""Diana Giannarelli""}"
237623,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1752-8526,0.0,0.0,1/14/01,-,{NULL}
912884,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,,0.0,0.0,1/14/01,-,{NULL}
318931,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",,eng,Circulation,1139-6121,0.0,0.0,1/10/01,153-163,{NULL}
93659,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",chi,eng,Circulation,1932-6203,0.0,0.0,1/14/01,"453-5, 459",{NULL}
349150,"13th IEEE/ACM Symposium on Distributed Simulation and Real-Time Applications, DS-RT 2009",eng,Owhthalmic surgery and lasers,,1082-3069,0.0,0.0,1/14/01,185-90,{NULL}
