id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Pxoceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,0.0,0.0,1/1/71,1187-9,{NULL}
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,eng,The Journal of infectious diseases,J. Infect. Dis.,Eur. J. Heart Fail.,0.0,0.0,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Dxane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,0.0,0.0,1/14/01,,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,eng,,,0.0,0.0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",{NULL}
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,eng,Dermatol Clin,1558-0520,0.0,0.0,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,eng,,,0.0,0.0,1/9/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,British medical bulletin,1469-493X,0.0,0.0,1/1/73,163-7,{NULL}
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,eng,American journal of respiratory and critical care medicine,,1469-493X,0.0,0.0,1/1/07,43-49,{NULL}
396821,Awareness of deficits and on-road driving performance,eng,Clinical Neuropsychologist,,,0.0,0.0,1/14/01,,"{pL. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,PloS one,1469-493X,0.0,0.0,1/6/01,158-61,{NULL}
184417," qobilisation with movement and exercise, corticosteroid injection, or wait and see for tennis elbow",,eng,,1469-493X,0.0,0.0,1/9/01,317-325,"{""J. L. Li"",""P. Newcomb""}"
