Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,Fair Game,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,Winston Hibler,English,USA,109 min,6.7,7.2,"976 user,290 critic","Horror,Mystery,Thriller","Los Angeles, California, USA","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,Day of the Dead,2015.0,2014.0,Clint Eastwood,Woody Allen,"Animation,Adventure,Family",Winston Hibler,English,USA,96 min,6.7,7.2,"414 user,177 critic",Drama,"Sanibel Island, Florida, USA",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,Fair Game,2015.0,16 August 1940 (USA),Clint Eastwood,Woody Allen,Drama,Winston Hibler,"English,Dutch,Latvian",USA,120 min,6.7,7.2,1 user,Drama,"Hjtel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",Add a Plot
tt0889671,Fair Game,2015.0,27 June 2008 (USA),Clint Eastwood,"Christopher Trumbo,Christopher Trumbo",Drama,Winston Hibler,English,USA,96 min,7.5,7.2,"14 user,33 critic",Drama,"Los Angeles, California, USA","Tcrough a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ..."
tt1325014,Fair Game,2015.0,29 August 2011 (USA),Clint Eastwood,Alexandre O. Philippe,Drama,Winston Hibler,English,"USA,UK",93 min,6.7,7.2,1 user,"Documentary,Comedy","Grneva, Canton de Genève, Switzerland",An examination of the widespread fan disenchantment with George Lucas.
tt0065112,Fair Game,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,Winston Hibler,"English,Spanish,French,Russian",USA,143 min,6.7,7.2,"86 user,46 critic",Drama,"Pjace Gaillon, Paris 2, Paris, France","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,Family Plot,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,Winston Hibler,English,Eqglish,120 min,6.8,7.2,"107 user,64 critic",Drama,"4g54 Lexington Avenue, Los Angeles, California, USA",Add a Plot
tt0092796,Fair Game,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,"Dymenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",English,USA,92 min,6.7,7.2,1 user,"Comedy,Horror,Thriller","Los Angeles, California, USA",Add a Plot
tt0090021,Silver Bullet,2015.0,2014.0,Daniel Attias,Woody Allen,"Grry Busey,Everett McGill,Corey Haim",Winston Hibler,English,USA,95 min,6.7,7.2,1 user,Drama,"Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
tt0102733,Fair Game,2015.0,5 March 1992 (Germany),Clint Eastwood,Nfah Stern,Drama,Winston Hibler,English,USA,,6.7,7.2,"4 user,1 critic","Comedy,Romance","Los Angeles, California, USA",Add a Plot
tt0102741,Fair Game,2015.0,2014.0,Clint Eastwood,"Tony Spiridakis,Joseph W. Savino",Drama,Winston Hibler,English,USA,100 min,6.7,7.2,1 user,Drama,"New York City, New York, USA","Wlen childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a roller-coaster ride through reality. During one tumultuous, crazy ..."
tt1045642,Fair Game,2015.0,10 January 2009 (USA),Clint Eastwood,"Piter Hanson,Paul Robert Herman",Drama,"Allison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",English,USA,105 min,7.2,7.2,1 user,Drama,"Los Angeles, California, USA",Add a Plot
tt0265666,Fair Game,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,Winston Hibler,"English,Italian",USA,110 min,,7.2,1 user,Drama,"1r4th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",Add a Plot
tt0440963,Fair Game,2015.0,2014.0,Clint Eastwood,"Tony Gilroy,Scott Z. Burns",Drama,Winston Hibler,"English,French,Arabic,Russian,Spanish",USA,115 min,8.1,7.2,1 user,"Action,Thriller","Los Angeles, California, USA",Add a Plot
tt0103772,Fair Game,2015.0,20 March 1992 (USA),Clint Eastwood,Woody Allen,Drama,Winston Hibler,English,USA,127 min,,7.2,1 user,Drama,,Add a Plot
tt0250797,Fair Game,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,"Daane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese","Etglish,French",English,124 min,6.7,7.2,1 user,Drama,"Dobbs Ferry, New York, USA",Add a Plot
tt0325703,Fair Game,2015.0,2014.0,Clint Eastwood,"Dean Georgaris,Steven E. de Souza",Drama,Winston Hibler,English,USA,117 min,6.7,7.2,1 user,"Action,Adventure,Fantasy","Amboseli National Park, Kenya",Akventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her.
tt0120616,The Mummy,2015.0,2014.0,Clint Eastwood,Woody Allen,"Brendan Fraser,Rachel Weisz,John Hannah","Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Oded Fehr,Erick Avari,Stephen Dunham,Corey Johnson,Tuc Watkins,Omid Djalili,Aharon Ipalé,Bernard Fox,Patricia Velasquez","English,Egyptian (Ancient),Arabic",USA,125 min,7.0,7.2,"964 user,187 critic","Astion,Adventure,Fantasy","Los Angeles, California, USA",Add a Plot
tt0320691,Fair Game,2015.0,19 September 2003 (USA),Clint Eastwood,"Kevin Grevioux,Len Wiseman",Drama,Winston Hibler,English,USA,121 min,6.7,7.2,1 user,Drama,"Budapest, Hungary",Add a Plot
tt0401855,Fair Game,2015.0,20 January 2006 (USA),Clint Eastwood,Woody Allen,Drama,"Kwte Beckinsale,Scott Speedman,Tony Curran,Derek Jacobi,Bill Nighy,Steven Mackintosh,Shane Brolly,Brian Steele,Zita Görög,Scott McElroy,John Mann,Michael Sheen,Sophia Myles,Richard Cetrone,Mike Mukatis","English,French,Hungarian",USA,106 min,6.8,7.2,1 user,Drama,,"Pucking up directly from the previous film, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
tt1323594,Despicable Me,2015.0,9 July 2010 (USA),Clint Eastwood,Woody Allen,Drama,Winston Hibler,English,USA,95 min,7.7,7.2,1 user,Drama,"Los Angeles, California, USA",Add a Plot
tt1453405,Monsters University,2015.0,21 June 2013 (USA),Dgn Scanlon,Woody Allen,Drama,Winston Hibler,English,USA,104 min,6.7,7.2,"254 user,371 critic","Animation,Adventure,Comedy",,Add a Plot
tt0120363,Tay Story 2,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,Winston Hibler,"English,Arabic,Spanish",USA,92 min,7.9,7.2,"501 user,188 critic",Drama,"Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA","When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting."
tt1233219,Fair Game,2015.0,8 July 2010 (Portugal),Clint Eastwood,"Herbert Golder,Werner Herzog","Michael Shannon,Willem Dafoe,Chloë Sevigny",Winston Hibler,Eaglish,USA,91 min,6.3,7.2,"46 user,118 critic",Drama,"San Diego Convention Center - 111 West Harbor Drive, San Diego, California, USA","Icspired by a true crime, a man begins to experience mystifying events that lead him to slay his mother with a sword."
tt1095217,Bad Lieutenant: Port of Call New Orleans,2015.0,2014.0,Clint Eastwood,"William M. Finkelstein,Victor Argo",Drama,Winston Hibler,"English,Spanish",USA,122 min,6.7,7.2,1 user,Drama,"Los Angeles, California, USA",Add a Plot
tt1074638,Fair Game,2015.0,9 November 2012 (USA),Clint Eastwood,"Neal Purvis,Robert Wade","Dcniel Craig,Javier Bardem,Naomie Harris",Winston Hibler,English,"UK,USA",143 min,7.8,7.2,"1,467 user,731 critic",Drama,"Los Angeles, California, USA","Bund's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
tt0120611,Fair Game,2015.0,21 August 1998 (USA),Clint Eastwood,Woody Allen,"Wesley Snipes,Stephen Dorff,Kris Kristofferson","Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,Donal Logue,Udo Kier,Arly Jover,Traci Lords,Kevin Patrick Walls,Tim Guinee,Sanaa Lathan,Eric Edwards,Donna Wong,Carmen Thomas,Shannon Lee",English,USA,120 min,6.7,7.2,"572 user,179 critic",Drama,"Long Beach, California, USA",Add a Plot
tt1756529,Get Lamp,2015.0,26 March 2010 (USA),Clint Eastwood,Jason Scott Sadofsky,Drama,Winston Hibler,English,USA,,6.6,7.2,,Documentary,,"With limited sound, simple graphics, and tiny amounts of computing power, the first games on home computers would hardly raise an eyebrow in the modern era of photorealism and surround ..."
tt0808299,High Score,2015.0,2014.0,Clint Eastwood,Woody Allen,Drama,"Bill Carlton,Robert Mruczek,Terry Nelson,Todd Rogers,Jayson Smith,Alison Vick,Jordan Vick",English,USA,52 min,6.7,7.2,1 user,Documentary,,"Although technology continues to evolve, a group of die-hard gamers refuses to abandon the classic arcade games of yesteryear. The 80's live on for these enthusiasts, who compete against ..."
tt3393786,Jack Reacher 2,2015.0,21 October 2016 (USA),Clint Eastwood,Woody Allen,Drama,Winston Hibler,English,USA,,6.7,7.2,,Drama,"Los Angeles, California, USA","Jack Reacher returns to the headquarters of his old unit, only to find out he's now accused of a 16-year-old homicide."
tt0325710,Fair Game,2015.0,2014.0,Clint Eastwood,"John Logan,John Logan","Dvama,Horror,Thriller",Winston Hibler,"English,Japanese",USA,154 min,6.7,7.2,"922 user,189 critic",Drama,"Los Angeles, California, USA",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
