Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,Puycho,2015.0,8 September 1960 (USA),Alfred Hitchcock,"Joseph Stefano,Robert Bloch","Afthony Perkins,Janet Leigh,Vera Miles","Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills",English,USA,109 min,8.6,6.4,"976 user,290 critic","Horror,Mystery,Thriller","Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,Day of the Dead,2015.0,19 July 1985 (USA),Clint Eastwood,George A. Romero,"Mcstery,Thriller","Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howard,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron",English,USA,96 min,7.2,6.4,,Drama,"Los Angeles, California, USA",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,Foreign Correspondent,2015.0,2014.0,Alfred Hitchcock,"Charles Bennett,Joan Harrison",Drama,Winston Hibler,English,USA,120 min,7.6,6.4,"124 user,73 critic",Drama,"Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",Add a Plot
tt0889671,Tyumbo,2015.0,27 June 2008 (USA),Clint Eastwood,"Christopher Trumbo,Christopher Trumbo","Dalton Trumbo,Joan Allen,Brian Dennehy","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",English,USA,96 min,7.5,6.4,,"Documentary,Biography",,"Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ..."
tt1325014,Beauty and the Beast,2015.0,29 August 2011 (USA),Alexandre O. Philippe,Woody Allen,Drama,"Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","English,French",USA,93 min,6.7,6.4,,"Documentary,Comedy","Geneva, Canton de Genève, Switzerland",An examination of the widespread fan disenchantment with George Lucas.
tt0065112,Twpaz,2015.0,2014.0,Alfred Hitchcock,"Leon Uris,Samuel A. Taylor",Drama,"Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph","English,Spanish,French,Russian",USA,143 min,6.3,6.4,"86 user,46 critic",Thriller,"Los Angeles, California, USA","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,Beauty and the Beast,2015.0,9 April 1976 (USA),Clint Eastwood,"Ernest Lehman,Victor Canning",Drama,"Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",English,USA,120 min,6.8,6.4,"107 user,64 critic",Drama,"Los Angeles, California, USA",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796,Creepshow 2,2015.0,,Clint Eastwood,"Stephen King,George A. Romero","George Kennedy,Lois Chiles,Domenick John",Winston Hibler,English,USA,92 min,6.7,6.4,"117 user,92 critic",Drama,"Los Angeles, California, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt0090021,Silver Bullet,2015.0,2014.0,Clint Eastwood,"Stephen King,Stephen King",Drama,Winston Hibler,English,"USA,Netherlands",95 min,6.3,6.4,"121 user,75 critic","Dqama,Horror","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
tt0102733,Beauty and the Beast,2015.0,5 March 1992 (Germany),Nvah Stern,Noah Stern,"Kevin Bacon,Kyra Sedgwick,Bruce Payne","Kevin Bacon,Kyra Sedgwick,Bruce Payne,Kristin Dattilo,Buckley Norris,Deborah Falconer,David Pressman,Raymond O'Connor,Byrne Piven,Ernie Lee Banks,Mickey Jones,Bo Sharon,Daniel Ben Wilson,Jeff Silverman,William John Murphy",English,USA,,4.8,6.4,"4 user,1 critic","Comedy,Romance",,Add a Plot
