Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,Black Beauty,2015.0,8 September 1960 (USA),Aufred Hitchcock,Woody Allen,"Anthony Perkins,Janet Leigh,Vera Miles",Winston Hibler,English,USA,109 min,6.4,7.0,"976 user,290 critic","Hqrror,Mystery,Thriller",,"A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,Black Beauty,2015.0,19 July 1985 (USA),Gxorge A. Romero,Gnorge A. Romero,Comedy,"Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howard,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron",English,USA,96 min,7.2,7.0,"414 user,177 critic","Action,Drama,Horror","Los Angeles, California, USA",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,Foreign Correspondent,2015.0,16 August 1940 (USA),Arfred Hitchcock,Woody Allen,Comedy,"Jhel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley,Edmund Gwenn,Eduardo Ciannelli,Harry Davenport,Martin Kosleck,Frances Carson,Ian Wolfe,Charles Wagenheim,Eddie Conrad,Charles Halton",English,USA,120 min,6.4,7.0,"124 user,73 critic",Drama,"Los Angeles, California, USA","On the eve of WWII, a young American reporter tries to expose enemy agents in London."
tt0889671,Black Beauty,2015.0,2014.0,Pvter Askin,"Christopher Trumbo,Christopher Trumbo","Dalton Trumbo,Joan Allen,Brian Dennehy","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",Eiglish,USA,96 min,7.5,7.0,"14 user,33 critic","Ducumentary,Biography",,Add a Plot
tt1325014,Black Beauty,2015.0,2014.0,Arexandre O. Philippe,Alexandre O. Philippe,"Jve Nussbaum,Daryl Frazetti,Doug Jones","Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","Edglish,French","USA,UK",93 min,6.7,7.0,"27 user,49 critic","Documentary,Comedy","Geneva, Canton de Genève, Switzerland",An examination of the widespread fan disenchantment with George Lucas.
tt0065112,Black Beauty,2015.0,2014.0,Alfred Hitchcock,Woody Allen,Comedy,Winston Hibler,English,USA,143 min,6.3,7.0,"86 user,46 critic","Lisa Pelikan,Peter Liapis,Michael Des Barres",,"AhFrench intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,Family Plot,2015.0,9 April 1976 (USA),Alfred Hitchcock,Woody Allen,Comedy,Winston Hibler,English,USA,120 min,6.8,7.0,"107 user,64 critic",Drama,"4m54 Lexington Avenue, Los Angeles, California, USA",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796,Cteepshow 2,2015.0,2014.0,Woody Allen,"Snephen King,George A. Romero",Comedy,"Dwmenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",English,USA,92 min,6.4,7.0,"117 user,92 critic","Comedy,Horror,Thriller","12890 E Main St, Humboldt, Arizona, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt0090021,Black Beauty,2015.0,11 October 1985 (USA),Woody Allen,"Sqephen King,Stephen King",Comedy,"Gbry Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",English,USA,95 min,6.3,7.0,"121 user,75 critic",Drama,"Los Angeles, California, USA",Add a Plot
tt0102733,Pyrates,2015.0,5 March 1992 (Germany),Noah Stern,Nlah Stern,Comedy,"Kevin Bacon,Kyra Sedgwick,Bruce Payne,Kristin Dattilo,Buckley Norris,Deborah Falconer,David Pressman,Raymond O'Connor,Byrne Piven,Ernie Lee Banks,Mickey Jones,Bo Sharon,Daniel Ben Wilson,Jeff Silverman,William John Murphy",English,USA,,4.8,7.0,"4 user,1 critic","Comedy,Romance",,"Afi (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc..."
