id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,,Mar-67,,64.0,38.0,2.0,1187-9,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,,ENG,The Journal of infectious diseases,Jd Infect. Dis.,1537-6613,,,2/15/04,,"{cValentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,Ann Surg,54.0,,1/6/12,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[toninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,,1943-5681,,,0.0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{fG. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,Daagnosis and Management of Cutaneous B-cell Lymphoma.,eng,,,,1/1/00,13.0,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,,,,,,10.0,-1.0,1/9/01,185-91,"{aC. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,,eng,ENG,,,,2.0,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,Tob Control,,,,,1.0,1/1/07,43-49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,,English,Clinical Neuropsychologist,,,1/1/06,7.0,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,Cgrdiology in the young,The British journal of radiology,,,1.0,938.0,1/6/01,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,eng,,,14.0,,,317-325,"{pJ. L. Li"",""P. Newcomb""}"
729686,,Psycho-oncology,Ihternational journal of clinical and experimental medicine,,,8.0,6.0,1/15/01,10213-10224,"{lYang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Sgoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Aita Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,,1/7/05,6.0,1/13/01,711-5,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Idaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Heart Rhythm,,1547-5271,,5.0,1/11/01,S40,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
