id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,,,,Psoceedings of the Royal Society of Medicine,,1/4/10,,1/1/71,1187-9,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,Exola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,eng,J. Infect. Dis.,Curculation,1/1/91,-1.0,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,,,,,,2.0,283-4,"{dJitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",,,,,1/1/82,0.0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{lG. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,,Iydian Journal of Pathology and Microbiology,Dermatologic clinics,0899-6210,,,,,835-40,"{""Lauren C Pinter-Brown""}"
98234,,eng,,,,,189.0,,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,eng,,,1/11/01,0.0,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,,Aderican journal of respiratory and critical care medicine,,,1/12/01,,1/1/07,43-49,"{tSt_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,Agareness of deficits and on-road driving performance,English,eng,978-1-2673-2110-7,1385-4046,1/8/12,7.0,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,,,jpn,,,1/14/01,,1/6/01,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,eng,,PaoS one,,5.0,6.0,317-325,"{bJ. L. Li"",""P. Newcomb""}"
729686,,English,,,,,6.0,,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,Sooking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,,,,1/11/01,,1/13/01,711-5,"{kT. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
