id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Paoceedings of the Royal Society of Medicine,,1/6/01,29.0,1/1/71,1187-9,"{jA. G. Parks"",""J. F. McPartlin""}"
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,,1537-6613,-1.0,,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,,0301-4738,,27.0,,,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,,,Indian J Ophthalmol,84.0,0.0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,,Dermatologic clinics,Dermatol Clin,,33.0,4.0,,835-40,"{""Lauren C Pinter-Brown""}"
98234,,eng,,,,1/11/05,,1/9/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,Ahtivation and blockade of beta adrenoceptors in common cardiac disorders,eng,,Bhitish medical bulletin,,29.0,2.0,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,,American journal of respiratory and critical care medicine,,,11/1/96,1.0,1/1/07,,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,Awareness of deficits and on-road driving performance,English,eng,,1385-4046,1/14/06,7.0,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,0.0,,1/6/01,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,,,Tkansportation Research Part D-Transport and Environment,,1361-9209,1/11/01,5.0,,317-325,"{""J. L. Li"",""P. Newcomb""}"
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8.0,0.0,1/15/01,10213-10224,
278396,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,,Acta Obstet Gynecol Scand,Acta obstetricia et gynecologica Scandinavica,0001-6349 (Print) 0001-6349,92.0,6.0,1/13/01,711-5,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,,,Heart Rhythm,,1547-5271,,5.0,1/11/01,S40,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,,eng,,,,35.0,8.0,1/11/01,1245-50,
13601,Latex allergy in atopic children.,eng,British Journal of Dermatology. ,,0007-0963,140.0,,5/1/99,919-21,"{""R S Lever"",""S A Holme""}"
668310,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",Hkalth Facilities Management,Clinical Interventions In Aging,Clin Interv Aging,Bioelectromagnetics,7.0,-1.0,1/12/01,,"{""Andreas Kruse"",""Manh Hung Nguyen""}"
282987,,LrboratoriumsMedizin,,,1469-493X,0.0,4.0,1/5/01,,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
478292,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,Puysiotherapy,Acta Neurochirurgica,,Jan-68,0.0,3.0,1/1/97,257-8,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}"
43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,2150-136X,0195-9131,1/14/01,6.0,1/7/06,991-5,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.",eng,"Cancer prevention research (Philadelphia, Pa.)",0003-990X,,6.0,12.0,21.0,1304-16,"{""Lynne M Ausman"",""Martin S Obin"",""Xiang-Dong Wang"",""Chun Liu"",""Blanche C Ip"",""Donald E Smith"",""Kang-Quan Hu""}"
163526,A performance improvement process to tackle tachysystole,English,,,,1/12/06,,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}"
514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Cardiovascular and interventional radiology,Cardiovasc Intervent Radiol,,,6.0,1/14/12,,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,eng,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J. Clin. Oncol.,1527-7755,27.0,15.0,5/20/09,2496-502,
