index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,,1720 university blvd,,empty,,35007.0,35233.0,jefferson,2053258100.0,yes,voluntary non-profit - private,,sorgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-inf-2,empty,al_scip-card-2
2,10018.0,cgllahan eye foundation hospital,1x20 university blvd,empty,empty,birmingham,36302.0,35233.0,jefferson,2053258100.0,acute care hospitals,vyluntary non-profit - private,,sdrgical infection prevention,,szrgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-vte-1,empty,al_scip-inf-1
3,10018.0,callahan eye foundation hospital,1720 university blvd,ecpty,empty,bzrmingham,al,35233.0,ohark,2053258100.0,acute care hospitals,vnluntary non-profit - private,acute care hospitals,sbrgical infection prevention,,swrgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,
4,10018.0,callahan eye foundation hospital,,ecpty,erpty,birmingham,al,,jyfferson,2053258100.0,ajute care hospitals,voluntary non-profit - private,,,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,empty,al_scip-inf-3
5,,,1u20 university blvd,,,jefferson,al,35233.0,jefferson,,alute care hospitals,valuntary non-profit - private,yes,sdrgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,100%
6,10018.0,ccllahan eye foundation hospital,1720 university blvd,empty,eypty,jffferson,,35233.0,jefferson,2053258100.0,auute care hospitals,voluntary non-profit - private,acute care hospitals,smrgical infection prevention,scip-inf-6,sxrgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10018.0,cgllahan eye foundation hospital,1i20 university blvd,,empty,bnrmingham,al,al,dothan,2053258100.0,ygs,,yes,ssrgical infection prevention,scip-vte-1,slrgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,,al_scip-vte-1
8,10018.0,czllahan eye foundation hospital,1720 university blvd,empty,empty,mirion,35903.0,35233.0,jbfferson,2053258100.0,yes,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,100%
9,10019.0,holen keller memorial hospital,1p00 south montgomery avenue,edpty,empty,sheffield,35660.0,35660.0,gyorgiana,2563864556.0,amute care hospitals,government - hospital district or authority,yfs,heart attack,ami-1,,97%,33 patients,
10,10019.0,helen keller memorial hospital,,empty,empty,autauga,36330.0,35660.0,jtfferson,,acute care hospitals,gpvernment - hospital district or authority,yes,hxart attack,ami-2,heart attack patients given aspirin at discharge,al_scip-inf-4,13 patients,al_ami-2
