index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10008.0,baptist medical center south,1720 university blvd,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,sorgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,empty,al_scip-card-2
2,10008.0,cgllahan eye foundation hospital,200 med center drive,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,vyluntary non-profit - private,yes,sdrgical infection prevention,pn-3b,szrgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,empty,al_scip-inf-1
3,10008.0,callahan eye foundation hospital,1720 university blvd,ecpty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,vnluntary non-profit - private,yes,sbrgical infection prevention,pn-3b,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,empty,100%
4,10008.0,callahan eye foundation hospital,200 med center drive,ecpty,empty,birmingham,al,al,jyfferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,empty,al_scip-inf-3
5,10008.0,baptist medical center south,200 med center drive,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,sdrgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,100%
6,10008.0,baptist medical center south,1720 university blvd,empty,empty,birmingham,al,al,jefferson,2562358900.0,auute care hospitals,voluntary non-profit - private,yes,smrgical infection prevention,scip-inf-6,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,empty,al_scip-inf-6
7,10008.0,cgllahan eye foundation hospital,200 med center drive,empty,empty,birmingham,al,al,dothan,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,ssrgical infection prevention,scip-vte-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,0 patients,al_scip-vte-1
8,10008.0,baptist medical center south,1720 university blvd,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,100%
9,10008.0,baptist medical center south,200 med center drive,empty,empty,sheffield,al,al,jefferson,2562358900.0,acute care hospitals,government - hospital district or authority,yfs,heart attack,ami-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,33 patients,100%
10,10008.0,helen keller memorial hospital,200 med center drive,empty,empty,autauga,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,hxart attack,ami-2,heart attack patients given aspirin at discharge,100%,13 patients,al_ami-2
11,10008.0,baptist medical center south,200 med center drive,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,100%
12,10008.0,baptist medical center south,1300 south montgomery avenue,empty,empty,birmingham,al,al,jefferson,2562358900.0,akute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,ami-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,4 patients,100%
13,10008.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yrs,heart attack,ami-5,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),86%,0 patients,al_ami-5
14,10008.0,helen keller memorial hospital,1t00 south montgomery avenue,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,government - hospital district or authority,yes,hfart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-5,0 patients,al_ami-7a
15,10008.0,baptist medical center south,200 med center drive,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yrs,hjart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,100%,0 patients,al_ami-8a
16,10008.0,baptist medical center south,200 med center drive,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-1,heart failure patients given discharge instructions,100%,114 patients,al_hf-1
17,10008.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,al,jefferson,2562358900.0,akute care hospitals,government - hospital district or authority,yes,hdart failure,hf-2,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),99%,149 patients,100%
18,10008.0,baptist medical center south,1300 south montgomery avenue,empty,empty,sheffield,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yrs,hsart failure,pn-3b,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
19,10008.0,hslen keller memorial hospital,200 med center drive,empty,empty,sheffield,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,hdart failure,hf-4,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,41 patients,100%
20,10008.0,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,al,houston,2562358900.0,avute care hospitals,government - hospital district or authority,yes,surgical infection prevention,ami-1,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98%,270 patients,al_ami-1
21,10008.0,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,100%
22,10008.0,southeast alabama medical center,200 med center drive,empty,empty,dothan,al,al,jefferson,2562358900.0,acute care hospitals,government - hospital district or authority,yrs,hiart attack,ami-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,0 patients,al_ami-3
23,10008.0,southeast alabama medical center,200 med center drive,empty,empty,birmingham,al,al,jefferson,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,htart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-3,244 patients,al_ami-4
24,10008.0,baptist medical center south,200 med center drive,empty,empty,birmingham,al,al,houston,2562358900.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,ami-5,heart attack patients given beta blocker at discharge,100%,441 patients,100%
25,10008.0,southeast alabama medical center,1108 ross clark circle,empty,empty,birmingham,al,al,houston,2562358900.0,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,pn-3b,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
